tstp,house1,house2,house3,house4,house5,house6,house7,house8,house9,house10,house11,consumo_agregado
2011-11-23 13:30:00,0.11,0.075,0.055,0.938,0.201,0.049,0.01,0.25,0.176,0.151,0.458,2.473
2011-11-23 14:00:00,0.244,0.064,0.144,1.65,0.185,0.048,0.0,0.163,0.092,0.059,0.534,3.183
2011-11-23 14:30:00,0.241,0.318,0.106,0.752,0.248,0.048,0.0,0.177,0.093,0.088,0.353,2.4239999999999995
2011-11-23 15:00:00,0.287,0.185,0.116,0.713,0.486,0.049,0.0,0.162,0.158,0.086,0.242,2.484
2011-11-23 15:30:00,0.296,0.121,0.139,0.261,0.281,0.048,0.0,0.162,0.142,0.116,0.324,1.89
2011-11-23 16:00:00,0.253,0.141,0.07,0.297,0.258,0.048,0.0,0.171,0.066,0.148,0.172,1.6239999999999999
2011-11-23 16:30:00,0.234,0.222,0.104,0.865,0.221,0.047,0.099,0.359,0.08,0.137,0.204,2.572
2011-11-23 17:00:00,0.234,0.226,0.329,0.76,0.272,0.048,0.078,0.381,0.062,0.137,0.218,2.7449999999999997
2011-11-23 17:30:00,0.246,0.207,0.228,0.603,0.352,0.047,0.062,0.441,0.063,0.18,0.16,2.5890000000000004
2011-11-23 18:00:00,0.303,0.183,0.253,0.635,0.289,0.048,0.124,0.436,0.084,0.163,0.435,2.953
2011-11-23 18:30:00,0.401,0.226,0.232,0.626,0.248,0.048,0.125,0.397,0.044,0.157,0.5,3.004
2011-11-23 19:00:00,0.534,0.24,0.165,0.64,0.928,0.048,0.124,0.341,0.055,0.172,0.432,3.6790000000000007
2011-11-23 19:30:00,0.687,0.207,0.45,0.831,0.688,0.047,0.123,0.362,0.066,0.178,0.449,4.087999999999999
2011-11-23 20:00:00,0.547,0.754,0.336,1.499,0.367,0.048,0.13,0.288,0.045,0.16,0.544,4.718
2011-11-23 20:30:00,0.587,1.1440001,0.18,1.446,0.296,0.047,0.198,0.414,0.05,0.157,0.378,4.8970001
2011-11-23 21:00:00,0.798,1.1619999,0.139,0.54,0.344,0.048,0.127,0.512,0.053,0.146,0.28,4.1489999
2011-11-23 21:30:00,0.961,0.853,0.116,0.456,0.257,0.048,0.122,0.357,0.066,0.189,0.365,3.79
2011-11-23 22:00:00,0.75,0.776,0.755,0.515,0.343,0.048,0.122,0.249,0.034,0.181,0.322,4.095
2011-11-23 22:30:00,0.768,0.17,0.338,0.457,0.145,0.047,0.127,0.223,0.066,0.104,0.28,2.7250000000000005
2011-11-23 23:00:00,0.345,0.198,0.798,0.421,0.144,0.048,0.127,0.261,0.195,0.052,0.361,2.95
2011-11-23 23:30:00,0.301,0.275,0.406,0.452,0.094,0.048,0.1,0.246,0.248,0.025,0.397,2.5919999999999996
2011-11-24 00:00:00,0.256,0.158,0.343,0.408,0.113,0.048,0.068,0.26,0.271,0.027,0.388,2.34
2011-11-24 00:30:00,0.171,0.204,0.309,2.1589999,0.206,0.048,0.067,0.222,0.176,0.026,0.428,4.015999900000001
2011-11-24 01:00:00,0.176,0.158,0.101,1.952,0.104,0.049,0.067,0.21,0.118,0.027,0.323,3.285
2011-11-24 01:30:00,0.218,0.149,0.096,1.714,0.094,0.048,0.067,0.404,0.115,0.026,0.334,3.265
2011-11-24 02:00:00,0.205,0.165,0.099,0.743,0.161,0.048,0.066,0.288,0.114,0.06,0.33,2.279
2011-11-24 02:30:00,0.215,0.135,0.072,0.277,0.109,0.049,0.067,0.372,0.111,0.05,0.175,1.6320000000000001
2011-11-24 03:00:00,0.227,0.137,0.056,0.315,0.092,0.048,0.066,0.414,0.055,0.026,0.186,1.6219999999999999
2011-11-24 03:30:00,0.23,0.094,0.085,0.459,0.112,0.048,0.066,0.163,0.048,0.026,0.253,1.584
2011-11-24 04:00:00,0.23,0.066,0.099,0.47,0.16,0.049,0.066,0.122,0.076,0.026,0.169,1.5330000000000001
2011-11-24 04:30:00,0.258,0.085,0.094,0.271,0.122,0.047,0.065,0.134,0.051,0.027,0.164,1.3179999999999998
2011-11-24 05:00:00,0.24,0.083,0.05,0.232,0.099,0.048,0.066,0.13,0.058,0.04,0.247,1.2930000000000001
2011-11-24 05:30:00,0.169,0.061,0.043,0.31,0.161,0.048,0.065,0.126,0.073,0.106,0.193,1.3550000000000002
2011-11-24 06:00:00,0.293,0.109,0.102,0.304,0.136,0.048,0.066,0.121,0.034,0.086,0.156,1.4549999999999998
2011-11-24 06:30:00,0.408,0.153,0.151,0.301,0.121,0.047,0.065,0.129,0.05,0.057,0.227,1.709
2011-11-24 07:00:00,0.145,0.135,0.427,0.329,0.282,0.048,0.065,0.127,0.219,0.06,0.216,2.0530000000000004
2011-11-24 07:30:00,0.258,0.129,0.112,0.283,0.458,0.048,0.065,0.127,0.442,0.196,0.154,2.272
2011-11-24 08:00:00,0.264,0.065,0.122,0.301,0.226,0.048,0.169,0.119,0.241,0.072,0.271,1.8980000000000001
2011-11-24 08:30:00,0.286,0.076,0.097,0.369,0.241,0.048,0.066,0.124,0.033,0.084,0.267,1.6909999999999998
2011-11-24 09:00:00,0.17,0.081,0.167,0.217,0.249,0.048,0.073,0.125,0.071,0.058,0.176,1.4349999999999998
2011-11-24 09:30:00,0.142,0.079,0.148,0.481,0.247,0.048,0.066,0.411,0.061,0.08,0.217,1.98
2011-11-24 10:00:00,0.142,0.106,0.109,0.27,0.557,0.047,0.066,0.373,0.036,0.17,0.376,2.2520000000000002
2011-11-24 10:30:00,0.154,0.187,0.036,0.685,0.315,0.048,0.112,0.167,0.073,0.101,0.317,2.1950000000000003
2011-11-24 11:00:00,0.15,0.19,0.054,0.474,0.225,0.049,0.066,0.174,0.137,0.066,0.314,1.8990000000000002
2011-11-24 11:30:00,0.089,0.066,0.096,0.339,0.21,0.048,0.065,0.163,0.053,0.027,0.389,1.545
2011-11-24 12:00:00,0.208,0.092,0.103,0.855,0.268,0.049,0.066,0.185,0.059,0.023,0.372,2.28
2011-11-24 12:30:00,0.084,0.068,0.101,0.237,0.225,0.049,0.065,0.149,0.054,0.025,0.281,1.338
2011-11-24 13:00:00,0.135,0.055,0.056,0.745,0.366,0.048,0.066,0.291,0.085,0.024,0.396,2.267
